Summary,Issue key,Issue id,Project name,Assignee,Components,abstract
Stab4_PC_MEL_NewSubmission - Waiver of Our Right to Recover from Others Endorsement condition cov term issue,XXX-34087,213238.0,ANIC P&C Migration,Williams,PolicyCenter,"**Defect Summary:**

**Defect ID:** Stab4_PC_MEL_NewSubmission

**Type:** Waiver of Our Right to Recover from Others Endorsement condition

**Specific Issue:** Coverage term discrepancy

**Use for Fetching:**

* Defect in Stab4 policy
* Endorsement condition waiver defect
* Coverage term issue related to right to recover"
 Stab4-  XXX-31569_CPP_Crime +GL_Policychange_mid term _invalid quote,XXX-34086,213237.0,ANIC P&C Migration,Williams,PolicyCenter,"Defect Summary: Stab4- XXX_Invalid Quote

* System: Crime
* Module: GL_Policychange_mid term
* Defect Type: Invalid Quote"
Prod| AL_UW_RES job failed on 08/07,BBB-8072,213236.0,EDW Production Operations,Williams,Claims Conversion,Defect Summary: AL_UW_RES Prod Job Failure on 08/07
ccst_claim : having error in Cpmicreateuserid_Ext,XXX-34085,213235.0,ANIC P&C Migration,Williams,Claims Conversion,"**Defect Summary**

Defect ID: ccst_claim
Defect Description: Error in Cpmicreateuserid_Ext"
ccst_activity : error in Cpmicreateuserid_Ext,XXX-34084,213233.0,ANIC P&C Migration,Williams,Claims Conversion,"Defect: **ccst_activity**
Component: **Cpmicreateuserid_Ext**
Error Description: **Error in Cpmicreateuserid_Ext**"
"PE: Submission Intake, rollback 2407 code",GGG-1478,213232.0,GW Cloud Digital,Williams,Claims Conversion,Product: PE Feature: Submission Intake Defect Type: Code Rollback ID: 2407
Stab4_Rating_GeneralLiability-PolicyChange-> Flat premiums are not getting prorated,XXX-34083,213231.0,ANIC P&C Migration,Peter,Rating,"**Defect Summary: Premium Proration**

**Originating Ticket:** Stab4_Rating_GeneralLiability-PolicyChange

**Defect Description:** Flat premiums in a policy change scenario are not prorated correctly."
UAT1 - Correct Form # IM 7418 Breakage Limitation,XXX-34082,213230.0,ANIC P&C Migration,Martin,PolicyCenter,"**Defect Summary:**

* UAT1
* Form # IM 7418 Breakage Limitation
* Type: Correction"
"PE: Policy Summary page, Cancellation Date and Reason not on the same line",GGG-1477,213229.0,GW Cloud Digital,Williams,ProducerEngage,Policy Summary page issue: Cancellation date and reason misalignment
PE/CE: Payroll Reporting Sorting incorrectly,GGG-1476,213228.0,GW Cloud Digital,Williams,SmartCOMM,Payroll Reporting Sorting Issue
Stab4 BC QA06env_Premium Deferral functionality-'Invoices are released from hold before submitting the Final Audit',XXX-34081,213227.0,ANIC P&C Migration,David,BillingCenter,"**Defect Summary:**

* **Product:** Stab4 BC
* **Category:** QA
* **Environment:** QA06env_Premium
* **Defect Type:** Functionality
* **Issue:** Invoices are released from hold before submitting the Final Audit."
Stab 4_XXX-31555-CPP_CP+Crime +GL--Policy: View button not displayed-as not able to open doc in  QA6,XXX-34080,213226.0,ANIC P&C Migration,David,SmartCOMM,Defect Summary: View button not displayed in Policy page due to inability to open document in QA6
"Update ANIC Agency Lookup Table (ANICAgencyMapping) - Agencies A80, D50",BBB-8071,213225.0,EDW Production Operations,Williams,,Update lookup table for agencies A80 and D50.
Stab4-  XXX-31548_CPP_Crime +GL_-Policy change for mid -term policy getting invalid quote in QA6,XXX-34079,213224.0,ANIC P&C Migration,Williams,PolicyCenter,Policy change for mid-term policy resulting in invalid quote in QA6 due to XXX-31548_CPP_Crime +GL- defect in Stab4.
UAT1 - Correct Form # IM 7360 Breakage Endorsement,XXX-34078,213222.0,ANIC P&C Migration,Martin,PolicyCenter,Defect: UAT1 - Correct Form # IM 7360 Breakage Endorsement
Jasper CE - FNOL Additional information page throwing error prompt upon routing back to previous screen with an added party on additional information page.,YYY-16546,213221.0,ANIC WC Migration,Williams,Jasper,Defect in Jasper CE: Error when routing back to previous screen from FNOL Additional Information page after adding a party.
Stab4_PC_PolicyChange_CP 1034 form should not trigger,XXX-34077,213219.0,ANIC P&C Migration,Martin,PolicyCenter,"**Defect Summary:**

Form trigger issue: Stab4_PC_PolicyChange_CP 1034 form should not trigger."
Stab4_PC_PolicyChange_CP 530 form not triggered,XXX-34076,213218.0,ANIC P&C Migration,David,PolicyCenter,"Product: Stab4_PC
Defect Type: Policy Change
Form: 530
Issue: Form not triggered"
"Stab4_PC_CU_Validation error is not throwing on adding WC internal policy with maritmine coverage with limit < 500,000",XXX-34075,213217.0,ANIC P&C Migration,Williams,PolicyCenter,"Defect Summary: Stab4_PC_CU_Validation processing error occurs without throwing an error message when adding an internal policy containing maritime coverage with a limit below 500,000."
ODS_DetailCoverage AU Nonowned - INTSEC : Missing records in the ODS_DetailCoverage for AU Nonowned flow. ,AAA-6073,213216.0,AAA,Williams,Claim Center,"**Defect Summary:**

**Title:** ODS_DetailCoverage AU Nonowned - INTSEC

**Issue:** Missing records in ODS_DetailCoverage table for AU Nonowned integration flow."
UAT1 - Occ/Agg Limits not showing on Risks screen for Flood/Earthquake when Blanket applies,XXX-34074,213214.0,ANIC P&C Migration,Peter,Claim Center,**Defect Summary:** Occ/Agg Limits not displayed on Risks screen for Flood/Earthquake when Blanket is applied.
Stab4_Rating_Commercial Package_Renewal: Getting Invalid Quote during Renewal with Rules Mod value indicating Null in Partial Worksheet,XXX-34073,213212.0,ANIC P&C Migration,Williams,Rating,"**Defect Summary: Invalid Quote During Renewal**

**Module:** Stab4_Rating_Commercial Package_Renewal

**Description:** Partial worksheet indicates null value for Rules Mod in renewal scenario, resulting in invalid quote generation."
Stab 4_CC_All Lobs_Catastrophe_Perils Value Mismatch for Losstype Auto/property/Liability in Catastrophe Admin screen,XXX-34072,213211.0,ANIC P&C Migration,Martin,ClaimCenter,"Defect Summary: Catastrophe Lobs Value Mismatch

Issue: In the Catastrophe Admin screen, the Losstype field contains incorrect values for Auto, Property, and Liability.

Affected Areas: Catastrophe Admin screen, Stab 4_CC_All Lobs_Catastrophe_Perils"
QA environment - Invalid quote issue occured during policy change ,YYY-16545,213208.0,ANIC WC Migration,Williams,Jasper,"**Defect Summary:** QA Environment Issue (Invalid Quote Issue)

**Description:** During policy modifications, the system generates invalid quotes in the QA environment."
IM 7205 01 12 & IM 7207 01 12 Commercial Inland Marine - Electronic Data Processing: Scheduled items are not mapped in the payload,XXX-34071,213207.0,ANIC P&C Migration,Williams,Forms Mapping,"**Defect Summary:**

* Commercial Inland Marine - Electronic Data Processing
* Scheduled items not mapped in the payload
* IM 7205 01 12 & IM 7207 01 12

**Keywords for Retrieval:**

* Commercial Inland Marine
* Electronic Data Processing
* Payload mapping
* Scheduled items"
Class codes applied to submission not displayed in Quote screen or QPAKT,MMM-1234,,Quote UI Integration,Smith,Flask App,**Defect Summary:** Class codes applied to a submission are not visible in the Quote screen or QPAKT.
Class codes 987 not displayed in Quote screen or QPAKT,BBB-4321,,Quote UI Integration,Smith,Flask App,"**Defect Summary:**

* **Class Code:** 987
* **Symptom:** Not displayed in Quote screen or QPAKT"
